Location Code;Construction Date
CT0013;01-01-1933
CT0024;01-01-1919
CT0047;01-01-1933
CT0053;01-01-1963
CT0059;01-01-1967
CT0060;01-01-1969
CT0061;01-01-1977
CT3316;01-01-2000
CT3319;01-01-2000
CT3323;01-01-2000
CT3331;01-01-2000
CT3341;01-01-2000
CT3354;01-01-2000
CT3360;01-01-2000
CT3362;01-01-2000
CT3369;01-01-2000
CT3375;01-01-2000
CT3376;01-01-2000
CT3389;01-01-2000
CT3393;01-01-2000
CT3395;01-01-2000
CT3398;01-01-2000
CT3400;01-01-2000
CT3402;01-01-2000
CT3409;01-01-2000
CT3410;01-01-2000
CT3412;25-06-2009
CT3413;01-04-2009
CT3414;01-02-2008
CT3416;01-10-2009
CT3421;19-03-2009
CT3425;25-06-2009
CT3429;01-07-2000
CT3433;01-05-1985
CT3435;01-01-2000
CT3438;09-06-2010
CT3441;01-01-2000
CT3444;01-01-2000
CT3446;01-01-2000
CT3448;01-01-2000
CT3450;01-01-2000
CT3451;01-01-2000
CT3453;01-01-2000
CT3457;01-01-2000
CT3458;01-01-2000
CT3459;01-01-2000
CT3460;01-01-2000
CT3462;01-01-2000
CT3463;01-01-2000
CT3466;01-01-2000
CT3467;01-01-2000
MA0011;01-01-1918
MA0013;01-01-1933
MA0050;01-09-1998
MA0051;01-08-2008
MA0076;01-01-1836
MA0113;01-01-1932
MA0129;01-01-1973
MA0131;01-01-1966
MA0135;01-01-1969
MA0136;01-01-1966
MA0137;01-01-1966
MA0153;30-06-1986
MA0158;01-01-1974
MA0180;01-01-1977
MA0183;01-07-2023
MA0188;01-01-1940
MA1855;01-01-2000
MA5431;01-01-2000
MA5466;01-01-2000
MA5490;01-01-2000
MA5612;01-01-2000
MA5645;01-01-2000
MA5649;01-01-2000
MA5650;01-10-2010
MA5654;01-01-2000
MA5671;01-01-2000
MA5673;01-01-2000
MA5675;01-01-2000
MA5678;01-01-2000
MA5681;01-01-2000
MA5682;01-01-2000
MA5683;01-01-2000
MA5771;01-01-2000
MA5785;01-01-2000
MA5790;01-01-2000
MA5793;01-01-2000
MA5809;01-01-2000
MA5813;01-01-2000
MA5819;01-01-2000
MA5826;01-04-2009
MA5829;01-01-2000
MA5831;01-01-2000
MA5832;01-01-2000
MA5834;01-01-2000
MA5837;01-08-1985
MA5842;01-01-2000
MA5845;01-01-1999
MA5847;01-01-2000
MA5851;01-01-2000
MA5861;01-01-2000
MA5863;01-10-1985
MA5866;01-12-1999
MA5867;01-01-2000
MA5868;01-08-2009
MA5869;25-05-2001
MA5871;01-01-2000
MA5874;05-05-2008
MA5876;01-01-2000
MA5883;01-01-2000
MA5890;01-01-2000
MA5891;01-01-2000
MA5893;01-01-2000
MA5897;01-01-2000
MA5900;01-01-2000
MA5905;01-01-2000
MA5907;01-01-2000
MA5908;01-01-2000
MA5912;01-01-2000
MA5915;01-01-2000
MA5917;05-05-2008
MA5924;14-10-2016
MA5930;01-11-2008
MA5932;02-11-2007
MA5935;25-06-2009
MA5939;08-06-2009
MA5941;01-01-2000
MA5942;23-02-2010
MA5944;12-03-2009
MA5955;01-01-2009
MA5958;01-01-2010
MA5964;30-07-2009
MA5965;15-01-2001
MA5980;15-08-2009
MA5982;08-10-2009
MA5983;01-01-2000
MA5984;01-01-2000
MA5986;01-01-2000
MA5989;07-06-2010
MA5991;25-06-1999
MA5992;01-01-2000
MA5993;01-07-2010
MA6001;01-10-2010
MA6007;01-01-2000
MA6009;01-01-2000
MA6011;01-01-2000
MA6013;01-01-2000
MA6014;01-01-2000
MA6016;01-01-2000
MA6017;01-01-2000
MA6022;01-01-2000
MA6023;01-01-2000
MA6024;01-01-2000
MA6025;01-01-2000
MA6029;01-01-2000
MA6030;01-01-2000
MA6031;01-01-2000
MA6035;01-01-2000
MA6036;01-01-2000
MA6037;01-01-2000
MA6038;01-01-2000
MA6040;01-04-2024
MA6042;01-01-2000
ME0012;01-01-1994
ME0013;16-06-2010
ME0034;01-01-1911
ME0035;01-01-1871
ME0051;01-01-1961
ME0053;25-09-2024
ME0061;01-01-1967
ME0068;01-01-1966
ME0074;01-01-1965
ME0075;01-01-1965
ME0078;01-01-1970
ME0087;01-10-1950
ME0088;01-01-1981
ME0089;01-11-2009
ME0091;26-11-2013
ME0192;21-06-2022
ME0501;01-01-1936
ME0503;01-01-1936
ME0551;01-01-1932
ME0552;01-01-1932
ME0553;01-01-1932
ME0554;01-01-1967
ME0555;01-01-1967
ME0601;01-01-1934
ME0661;01-01-1985
ME0662;01-01-1985
ME0663;01-01-1985
ME0664;01-01-2000
ME0701;01-01-1934
ME0751;01-01-1937
ME0752;01-01-1937
ME0823;06-05-2009
ME0824;12-07-2010
ME0825;01-08-2009
ME0831;01-01-1964
ME0832;01-01-1964
ME0843;30-04-2013
ME0844;30-04-2013
ME0845;30-04-2013
ME0851;01-08-2009
ME0852;01-08-2009
ME3377;01-01-2000
ME4129;01-12-2000
ME4130;31-07-2002
ME4132;01-01-2000
ME4134;01-08-1999
ME4164;01-01-2000
ME4166;01-01-2000
ME4167;01-01-2000
ME4191;01-01-2000
ME4195;01-01-2000
ME4197;01-01-2000
ME4199;01-01-2000
ME4202;01-01-2000
ME4211;01-01-2000
ME4212;01-01-2000
ME4225;01-01-2000
ME4227;01-01-2000
ME4229;01-01-2000
ME4231;01-01-2000
ME4232;01-01-2000
ME4233;01-01-2000
ME4235;01-01-2000
ME4236;01-01-2000
ME4238;01-01-2000
ME4245;01-01-1985
ME4246;04-02-2009
ME4249;22-10-2008
ME4250;01-03-2009
ME4251;01-05-2009
ME4252;01-01-2009
ME4253;16-12-2008
ME4254;16-12-2008
ME4258;01-01-2000
ME4260;01-01-2000
ME4262;01-01-1980
ME4267;01-01-2000
ME4270;01-01-2000
ME4272;01-01-2000
ME4273;01-01-2000
ME4274;01-01-2000
ME4275;01-01-2000
ME4276;01-01-2000
ME4278;01-01-2000
ME4279;01-01-2000
ME4284;01-01-2000
ME8020;01-01-2000
NH0012;23-03-2023
NH0030;01-01-1966
NH0033;01-01-1969
NH0036;01-01-1966
NH0037;01-01-1976
NH0038;01-01-1996
NH6085;01-01-2000
NH6096;01-01-2000
NH6118;01-01-2000
NH6119;01-01-2000
NH6126;01-01-2000
NH6131;01-01-2000
NH6132;01-01-2000
NH6135;01-01-2000
NH6136;01-06-1983
NH6139;01-01-2000
NH6143;01-01-2000
NH6145;01-01-2000
NH6148;01-01-2000
NH6150;01-01-2000
NH6153;01-01-2000
NH6158;06-02-2009
NH6162;01-06-2010
NH6166;01-12-2010
NH6167;01-01-2000
NH6168;01-01-1988
NH6170;01-01-2000
NH6175;01-01-2000
NH6177;01-01-2000
NH6178;01-01-2000
NH6182;01-01-2000
NH6183;01-01-2000
NH6185;01-01-2000
NH6188;01-01-2000
NH6191;01-01-2000
NH6197;01-01-2000
RI0009;01-01-1908
RI0010;01-01-1940
RI7085;01-01-2000
RI7097;01-01-1981
RI7101;01-01-2000
RI7110;01-01-2000
RI7114;01-01-2000
RI7123;01-01-2000
RI7125;01-01-2000
RI7129;01-01-2000
RI7136;01-01-2000
RI7138;01-01-2000
RI7139;01-01-2000
RI7146;01-01-2000
RI7148;05-11-2007
RI7150;06-10-2008
RI7152;31-07-2009
RI7154;01-01-1973
RI7156;01-01-2000
RI7165;01-01-2000
RI7167;01-01-2000
RI7168;01-01-2000
