"bldg_county","total_parking"
"DISTRICT OF COLUMBIA","19856"
"PRINCE GEORGE'S","15864"
"JEFFERSON","14781"
"JACKSON","12243"
"SAN DIEGO","10857"
"FAIRFAX","10343"
"MONTGOMERY","9935"
"ORANGE","9377"
"BALTIMORE","8696"
"LOS ANGELES","7890"
"ST. LOUIS (CITY)","6174"
"DALLAS","6111"
"HARRIS","5921"
"SUFFOLK","5634"
"COOK","5037"
"SHELBY","4696"
"DEKALB","4585"
"PHILADELPHIA","4375"
"FULTON","4371"
"TARRANT","4358"
"ESSEX","4247"
"TRAVIS","4140"
"WEBER","4054"
"CLARK","4034"
"MIAMI-DADE","3809"
"KING","3644"
"BEXAR","3490"
"MARICOPA","3450"
"BERNALILLO","3442"
"WAYNE","3398"
"ARLINGTON","3375"
"BROWARD","3303"
"HILLSBOROUGH","3126"
"SAN JUAN","2937"
"FRESNO","2912"
"HIDALGO","2823"
"SACRAMENTO","2808"
"SUFFOLK (CITY)","2757"
"EL PASO","2708"
"LOUDOUN","2694"
"DUVAL","2531"
"GUAYNABO","2475"
"QUEENS","2366"
"WINCHESTER (CITY)","2236"
"HENNEPIN","2187"
"FALLS CHURCH (CITY)","2161"
"MIDDLESEX","2102"
"BENTON","2056"
"MARION","2034"
"ANCHORAGE","1987"
"NEW YORK","1984"
"CHITTENDEN","1980"
"ERIE","1955"
"CHESAPEAKE(CITY)","1953"
"FRANKLIN","1883"
"CUYAHOGA","1835"
"MULTNOMAH","1831"
"PIMA","1769"
"BUTLER","1699"
"JOHNSON","1610"
"OKLAHOMA","1609"
"POLK","1531"
"SALT LAKE","1526"
"ALLEGHENY","1476"
"ORLEANS","1476"
"DAVIDSON","1468"
"DOUGLAS","1465"
"RICHLAND","1451"
"LARIMER","1439"
"DENVER","1392"
"ADA","1388"
"MECKLENBURG","1314"
"WASHINGTON","1298"
"WEBB","1262"
"MADISON","1261"
"CAMERON","1222"
"CALHOUN","1202"
"LANCASTER","1186"
"PALM BEACH","1180"
"PULASKI","1177"
"NUECES","1134"
"WAKE","1125"
"HONOLULU","1080"
"WILLIAMSON","1071"
"KNOX","1059"
"HAMILTON","1058"
"SAN FRANCISCO","1047"
"KENTON","986"
"MOBILE","977"
"IMPERIAL","977"
"MILWAUKEE","934"
"DUPAGE","932"
"LUZERNE","896"
"ROCKINGHAM","881"
"FREDERICK","878"
"CUMBERLAND","877"
"EAST BATON ROUGE","840"
"CHARLESTON","827"
"PIERCE","788"
"CONTRA COSTA","784"
"MONROE","782"
"ARAPAHOE","770"
"NORFOLK (CITY)","760"
"KINGS","759"
"HINDS","738"
"FAYETTE","727"
"LAKE","726"
"KENT","711"
"ALBANY","703"
"STAFFORD","695"
"TULSA","680"
"MUSKOGEE","672"
"BERKELEY","669"
"SANTA CLARA","667"
"SAN JOAQUIN","662"
"RIVERSIDE","656"
"COCONINO","653"
"DONA ANA","645"
"ALEXANDRIA (CITY)","643"
"WYANDOTTE","631"
"WASHOE","627"
"UNION","624"
"BOONE","623"
"RICHMOND (CITY)","621"
"ST. CLAIR","617"
"ALAMEDA","614"
"LAFAYETTE","608"
"CRAVEN","607"
"NEW HAVEN","607"
"FREDERICKSBURG (CITY)","603"
"SPOKANE","595"
"WHATCOM","582"
"YELLOWSTONE","577"
"SHAWNEE","577"
"HUMBOLDT","567"
"CHATHAM","566"
"GUILFORD","558"
"BIBB","549"
"PLATTE","544"
"HARRISON","536"
"LEE","525"
"ANDERSON","522"
"PLACER","519"
"CADDO","514"
"SANGAMON","513"
"BREVARD","508"
"CLARKE","508"
"SEDGWICK","502"
"GREENE","492"
"MONMOUTH","492"
"IND.CITY-CARSON","490"
"CLAYTON","487"
"CLAY","472"
"WESTCHESTER","469"
"CAGUAS","461"
"MERCER","450"
"COLLIN","448"
"ST LOUIS","444"
"MESA","444"
"EDDY","442"
"YUMA","442"
"LINN","440"
"SAN MATEO","438"
"MIDLAND","429"
"CLEVELAND","429"
"HARTFORD","428"
"DANE","421"
"ONONDAGA","421"
"WASHTENAW","421"
"MCLEAN","417"
"KANAWHA","417"
"PHELPS","416"
"SANTA FE","416"
"NASSAU","416"
"WORCESTER","413"
"CHARLOTTESVILLE(CITY)","410"
"SMITH","409"
"SANTA CRUZ","404"
"GALLATIN","402"
"KERN","402"
"GALVESTON","401"
"BAYAMON","401"
"ROANOKE (CITY)","397"
"SAN BERNARDINO","396"
"VAL VERDE","392"
"LARAMIE","390"
"ANNE ARUNDEL","390"
"FAIRFIELD","385"
"BELL","384"
"SUMMIT","384"
"FAIRBANKS NORTH STAR","383"
"BERGEN","382"
"YAKIMA","380"
"PENNINGTON","380"
"GUAM","374"
"ALLEN","373"
"PENOBSCOT","373"
"RAMSEY","373"
"CASS","366"
"BUNCOMBE","365"
"FLOYD","363"
"DAUPHIN","361"
"PROVIDENCE","358"
"BROWN","357"
"CASCADE","353"
"KENNEBEC","351"
"LEON","351"
"MONONGALIA","351"
"NEW CASTLE","350"
"BRONX","345"
"OTERO","340"
"JUNEAU","340"
"TERREBONNE","339"
"AROOSTOOK","333"
"PRINCE WILLIAM","330"
"HAMPDEN","321"
"OAKLAND","320"
"FORSYTH","318"
"INGHAM","315"
"MINNEHAHA","312"
"HAMPSHIRE","305"
"MAHONING","302"
"MCKINLEY","300"
"FAIRFAX (CITY)","299"
"GREENVILLE","295"
"LUBBOCK","291"
"LA PLATA","290"
"ESCAMBIA","288"
"MACOMB","288"
"BURLEIGH","287"
"THURSTON","284"
"RICHMOND","281"
"PINELLAS","281"
"BRISTOL","278"
"RANKIN","278"
"NEW HANOVER","277"
"SONOMA","273"
"CHELAN","270"
"LUNA","266"
"SOMERSET","265"
"CLACKAMAS","261"
"WHITLEY","258"
"BAY","258"
"LEWIS AND CLARK","257"
"SEMINOLE","255"
"POTTAWATTAMIE","255"
"CARBON","254"
"TUOLUMNE","248"
"MCCRACKEN","246"
"YOLO","246"
"LOWNDES","245"
"MONTEREY","245"
"DURHAM","244"
"PAYNE","242"
"MERRIMACK","239"
"LANE","238"
"NATRONA","237"
"TOOLE","236"
"CROOK","235"
"LOGAN","235"
"DENTON","234"
"PIKE","229"
"NIAGARA","229"
"SEBASTIAN","224"
"ST LUCIE","223"
"CALCASIEU","222"
"BOULDER","222"
"LINCOLN","215"
"BEADLE","211"
"BONNEVILLE","209"
"GARLAND","208"
"BURLINGTON","206"
"KITSAP","204"
"NEW LONDON","204"
"PINAL","204"
"VENTURA","203"
"GWINNETT","201"
"OUACHITA","198"
"ADAMS","196"
"GENESEE","195"
"PASSAIC","192"
"GRAND FORKS","192"
"MORRIS","191"
"ONEIDA","191"
"ST. CROIX","190"
"SAIPAN","188"
"MISSOULA","188"
"CABELL","187"
"FLORENCE","186"
"COCHISE","186"
"MCLENNAN","185"
"SULLIVAN","181"
"BEAVERHEAD","179"
"HOWARD","175"
"DAVIESS","174"
"CAMDEN","174"
"YORK","174"
"ATLANTIC","172"
"CHAMPAIGN","172"
"SNOHOMISH","172"
"LUCAS","170"
"MUSCOGEE","167"
"HILL","166"
"ALACHUA","164"
"CHIPPEWA","164"
"OKALOOSA","163"
"SHERIDAN","163"
"COBB","162"
"VOLUSIA","162"
"WINNEBAGO","161"
"ST JOSEPH","161"
"PONCE","161"
"BUTTE","160"
"WYOMING","160"
"TOM GREEN","156"
"SCOTT","156"
"RAPIDES","155"
"STARK","154"
"TWIN FALLS","154"
"SHASTA","153"
"BAKER","152"
"TAOS","151"
"CHAVES","151"
"SANTA BARBARA","150"
"LA SALLE","149"
"WARREN","149"
"VANDERBURGH","146"
"GLENN","144"
"ST. MARY'S","143"
"PITTSBURG","143"
"JEROME","142"
"IRON","142"
"PORTER","141"
"THOMAS","140"
"HOUSTON","140"
"PEORIA","140"
"DUBUQUE","138"
"HUGHES","137"
"PERRY","136"
"WOODBURY","136"
"CULBERSON","136"
"KOOCHICHING","135"
"ST. THOMAS","135"
"HAWAII","134"
"PORTSMOUTH (CITY)","134"
"VICTORIA","134"
"RANDOLPH","133"
"NEWTON","133"
"MAVERICK","133"
"PRESIDIO","131"
"NEWPORT NEWS (CITY)","130"
"PITT","130"
"WOOD","129"
"CANADIAN","129"
"CAPE GIRARDEAU","129"
"HANCOCK","128"
"PLYMOUTH","126"
"COLE","124"
"LAUREL","122"
"GARFIELD","121"
"DOUGHERTY","120"
"HUDSON","119"
"ASHLAND","118"
"PUTNAM","117"
"FORREST","115"
"KETCHIKAN GATEWAY","115"
"OHIO","114"
"EAU CLAIRE","114"
"HARRISONBURG (CITY)","112"
"PASQUOTANK","112"
"BREWSTER","111"
"REEVES","111"
"CRAIGHEAD","109"
"POTTER","109"
"WEBSTER","109"
"GLYNN","108"
"DAVIS","107"
"IREDELL","105"
"ST. CHARLES","104"
"LAURENS","102"
"HARLAN","102"
"BURKE","101"
"COWETA","101"
"DEWEY","100"
"HARNEY","100"
"GLACIER","99"
"FREMONT","97"
"CLINTON","96"
"COLUMBIA","95"
"PHILLIPS","93"
"RIO GRANDE","93"
"ST. TAMMANY","92"
"SUMNER","92"
"LACKAWANNA","91"
"MATANUSKA-SUSITNA","91"
"ROCK ISLAND","91"
"COMANCHE","90"
"RILEY","90"
"ANGELINA","85"
"DELAWARE","85"
"BOYD","85"
"GRAND","83"
"MOHAVE","83"
"GREGG","81"
"BELMONT","81"
"TAYLOR","80"
"ECTOR","80"
"LEELANAU","80"
"BRAZORIA","79"
"OSCEOLA","78"
"RUTHERFORD","76"
"PUEBLO","76"
"COOS","76"
"BOWIE","75"
"BARNSTABLE","75"
"CARTER","75"
"LEFLORE","75"
"POTTAWATOMIE","75"
"FAJARDO","74"
"GRAYSON","74"
"KOOTENAI","74"
"LICKING","74"
"SOLANO","74"
"WISE","72"
"CARVER","72"
"HOPKINS","72"
"PASCO","71"
"ELKO","71"
"LA CROSSE","71"
"SEVIER","70"
"WHITFIELD","69"
"CARROLL","69"
"WICHITA","68"
"BUCHANAN","67"
"SPALDING","67"
"CATAWBA","67"
"ELLIS","66"
"HUMACAO","66"
"TUSCALOOSA","66"
"WILL","66"
"SPARTANBURG","66"
"SAGINAW","65"
"CURRY","65"
"BERKSHIRE","65"
"OUTAGAMIE","65"
"BELTRAMI","64"
"CODINGTON","62"
"DE SOTO","62"
"GRANT","62"
"MAYAGUEZ","62"
"BOLIVAR","61"
"OSWEGO","61"
"HAMBLEN","61"
"SANDOVAL","60"
"MANATEE","60"
"CECIL","60"
"FAULKNER","59"
"SARASOTA","59"
"BRAZOS","58"
"NASH","57"
"INDIAN RIVER","57"
"LAMAR","57"
"DESCHUTES","57"
"TANGIPAHOA","57"
"RUTLAND","56"
"MARQUETTE","56"
"LAUDERDALE","56"
"ST FRANCIS","56"
"GREENWOOD","56"
"MILLER","56"
"TOLLAND","55"
"DYER","55"
"BANNOCK","55"
"TIFT","55"
"OWYHEE","54"
"BARROW","54"
"ALCORN","53"
