Location Code;years
CT0013;1933
CT0024;1919
CT0047;1933
CT0053;1963
CT0059;1967
CT0060;1969
CT0061;1977
CT3316;2000
CT3319;2000
CT3323;2000
CT3331;2000
CT3341;2000
CT3354;2000
CT3360;2000
CT3362;2000
CT3369;2000
CT3375;2000
CT3376;2000
CT3389;2000
CT3393;2000
CT3395;2000
CT3398;2000
CT3400;2000
CT3402;2000
CT3409;2000
CT3410;2000
CT3412;2009
CT3413;2009
CT3414;2008
CT3416;2009
CT3421;2009
CT3425;2009
CT3429;2000
CT3433;1985
CT3435;2000
CT3438;2010
CT3441;2000
CT3444;2000
CT3446;2000
CT3448;2000
CT3450;2000
CT3451;2000
CT3453;2000
CT3457;2000
CT3458;2000
CT3459;2000
CT3460;2000
CT3462;2000
CT3463;2000
CT3466;2000
CT3467;2000
MA0011;1918
MA0013;1933
MA0050;1998
MA0051;2008
MA0076;1836
MA0113;1932
MA0129;1973
MA0131;1966
MA0135;1969
MA0136;1966
MA0137;1966
MA0153;1986
MA0158;1974
MA0180;1977
MA0183;2023
MA0188;1940
MA1855;2000
MA5431;2000
MA5466;2000
MA5490;2000
MA5612;2000
MA5645;2000
MA5649;2000
MA5650;2010
MA5654;2000
MA5671;2000
MA5673;2000
MA5675;2000
MA5678;2000
MA5681;2000
MA5682;2000
MA5683;2000
MA5771;2000
MA5785;2000
MA5790;2000
MA5793;2000
MA5809;2000
MA5813;2000
MA5819;2000
MA5826;2009
MA5829;2000
MA5831;2000
MA5832;2000
MA5834;2000
MA5837;1985
MA5842;2000
MA5845;1999
MA5847;2000
MA5851;2000
MA5861;2000
MA5863;1985
MA5866;1999
MA5867;2000
MA5868;2009
MA5869;2001
MA5871;2000
MA5874;2008
MA5876;2000
MA5883;2000
MA5890;2000
MA5891;2000
MA5893;2000
MA5897;2000
MA5900;2000
MA5905;2000
MA5907;2000
MA5908;2000
MA5912;2000
MA5915;2000
MA5917;2008
MA5924;2016
MA5930;2008
MA5932;2007
MA5935;2009
MA5939;2009
MA5941;2000
MA5942;2010
MA5944;2009
MA5955;2009
MA5958;2010
MA5964;2009
MA5965;2001
MA5980;2009
MA5982;2009
MA5983;2000
MA5984;2000
MA5986;2000
MA5989;2010
MA5991;1999
MA5992;2000
MA5993;2010
MA6001;2010
MA6007;2000
MA6009;2000
MA6011;2000
MA6013;2000
MA6014;2000
MA6016;2000
MA6017;2000
MA6022;2000
MA6023;2000
MA6024;2000
MA6025;2000
MA6029;2000
MA6030;2000
MA6031;2000
MA6035;2000
MA6036;2000
MA6037;2000
MA6038;2000
MA6040;2024
MA6042;2000
ME0012;1994
ME0013;2010
ME0034;1911
ME0035;1871
ME0051;1961
ME0053;2024
ME0061;1967
ME0068;1966
ME0074;1965
ME0075;1965
ME0078;1970
ME0087;1950
ME0088;1981
ME0089;2009
ME0091;2013
ME0192;2022
ME0501;1936
ME0503;1936
ME0551;1932
ME0552;1932
ME0553;1932
ME0554;1967
ME0555;1967
ME0601;1934
ME0661;1985
ME0662;1985
ME0663;1985
ME0664;2000
ME0701;1934
ME0751;1937
ME0752;1937
ME0823;2009
ME0824;2010
ME0825;2009
ME0831;1964
ME0832;1964
ME0843;2013
ME0844;2013
ME0845;2013
ME0851;2009
ME0852;2009
ME3377;2000
ME4129;2000
ME4130;2002
ME4132;2000
ME4134;1999
ME4164;2000
ME4166;2000
ME4167;2000
ME4191;2000
ME4195;2000
ME4197;2000
ME4199;2000
ME4202;2000
ME4211;2000
ME4212;2000
ME4225;2000
ME4227;2000
ME4229;2000
ME4231;2000
ME4232;2000
ME4233;2000
ME4235;2000
ME4236;2000
ME4238;2000
ME4245;1985
ME4246;2009
ME4249;2008
ME4250;2009
ME4251;2009
ME4252;2009
ME4253;2008
ME4254;2008
ME4258;2000
ME4260;2000
ME4262;1980
ME4267;2000
ME4270;2000
ME4272;2000
ME4273;2000
ME4274;2000
ME4275;2000
ME4276;2000
ME4278;2000
ME4279;2000
ME4284;2000
ME8020;2000
NH0012;2023
NH0030;1966
NH0033;1969
NH0036;1966
NH0037;1976
NH0038;1996
NH6085;2000
NH6096;2000
NH6118;2000
NH6119;2000
NH6126;2000
NH6131;2000
NH6132;2000
NH6135;2000
NH6136;1983
NH6139;2000
NH6143;2000
NH6145;2000
NH6148;2000
NH6150;2000
NH6153;2000
NH6158;2009
NH6162;2010
NH6166;2010
NH6167;2000
NH6168;1988
NH6170;2000
NH6175;2000
NH6177;2000
NH6178;2000
NH6182;2000
NH6183;2000
NH6185;2000
NH6188;2000
NH6191;2000
NH6197;2000
RI0009;1908
RI0010;1940
RI7085;2000
RI7097;1981
RI7101;2000
RI7110;2000
RI7114;2000
RI7123;2000
RI7125;2000
RI7129;2000
RI7136;2000
RI7138;2000
RI7139;2000
RI7146;2000
RI7148;2007
RI7150;2008
RI7152;2009
RI7154;1973
RI7156;2000
RI7165;2000
RI7167;2000
RI7168;2000
