"location_code","bldg_address1","bldg_city","bldg_state"
"CT0024","141 CHURCH ST","NEW HAVEN","CT"
"CT0047","135 GRAND ST","WATERBURY","CT"
"CT3323","333 E RIVER DR","EAST HARTFORD","CT"
"CT3376","131 WEST ST","DANBURY","CT"
"CT3400","5 SHAWS CV","NEW LONDON","CT"
"CT3409","155 BURR ST","NEW HAVEN","CT"
"CT3453","BRADLEY FIELD","WINDSOR LOCKS","CT"
"CT3458","380 SHELDON ST","HARTFORD","CT"
"CT3459","99 E MAIN ST","MIDDLETOWN","CT"
"CT3462","193 GRAND ST","WATERBURY","CT"
"CT3466","6 SHAWS CV","NEW LONDON","CT"
"MA0136","380 TRAPELO RD","WALTHAM","MA"
"MA5678","1 FEDERAL STREET","SPRINGFIELD","MA"
"MA5863","PARK ST","SOUTHBOROUGH","MA"
"MA5912","71 AIRPORT RD","VINEYARD HAVEN","MA"
"MA5941","4238 WASHINGTON ST","BOSTON","MA"
"MA5942","75 PERSEVERANCE WAY","HYANNIS","MA"
"MA5955","120 LIBERTY ST","BROCKTON","MA"
"MA5980","51 SLEEPER ST","BOSTON","MA"
"MA6011","375 AIRPORT DR","WORCESTER","MA"
"MA6023","1515 HANCOCK ST","QUINCY","MA"
"MA6042","62 BROWN STREET","HAVERHILL","MA"
"ME0013","BLANCHETTE ROAD","TOWNSHIP 15,RANGE 15 WELS","ME"
"ME0035","312 FORE ST","PORTLAND","ME"
"ME0053","108 FOUR CORNERS CROSSING","MADAWASKA","ME"
"ME0089","96 CALAIS RD","HOULTON","ME"
"ME0192","96 CALAIS RD","HODGDON","ME"
"ME0503","3 CUSTOMS ST","CALAIS","ME"
"ME0551","6092 ARNOLD TRAIL - RT 27","COBURN GORE","ME"
"ME0552","6091 ARNOLD TRAIL - RT 27","COBURN GORE","ME"
"ME0553","6095 ARNOLD TRAIL - RT 27","COBURN GORE","ME"
"ME0554","6099 ARNOLD TRAIL - RT 27","COBURN GORE","ME"
"ME0555","6101 ARNOLD TRAIL - RT 27","COBURN GORE","ME"
"ME0664","27 CUSTOMS LOOP","HOULTON","ME"
"ME0751","US ROUTE 1","ORIENT","ME"
"ME0823","2614 MAIN ST - RT 201","JACKMAN","ME"
"ME0824","2614 MAIN ST - RT 201","JACKMAN","ME"
"ME0825","2614 MAIN ST - RT 201","JACKMAN","ME"
"ME0845","206 ACADIAN WAY","VAN BUREN","ME"
"ME0852","180 INTERNATIONAL AVE","CALAIS","ME"
"ME4164","CLEMENT HUFF ROAD","KENNEBUNKPORT","ME"
"ME4191","1 PORTLAND SQ","PORTLAND","ME"
"ME4227","11 HIGH ST","HOULTON","ME"
"ME4231","12 VICTORIA LN","FALMOUTH","ME"
"ME4232","BOISE CASCADE ROAD,TS10/R17","JACKMAN","ME"
"ME4233","96 MILE GOLDEN ROAD,TS5/R20 WELS","JACKMAN","ME"
"ME4252","69 GROVE ST","ORONO","ME"
"NH0012","OAK AVE","PORTSMOUTH","NH"
"NH6085","20 W PARK ST","LEBANON","NH"
"NH6175","1155 ELM ST","MANCHESTER","NH"
"NH6191","300 CONSTITUTION AVE","PORTSMOUTH","NH"
"NH6197","31 ROCHESTER AVE","PORTSMOUTH","NH"
"RI7136","2000 POST RD","WARWICK","RI"
"RI7167","33 BROAD ST","PROVIDENCE","RI"
"VT0008","357 GLEN SUTTON RD","RICHFORD","VT"
"VT0020","155 GRAND AVE","SWANTON","VT"
"VT0021","GRAND AVE","SWANTON","VT"
"VT0029","155 GRAND AVE","SWANTON","VT"
"VT0033","VT 225","ALBURG CENTER","VT"
"VT0059","462 WELCOME CENTER ROAD","HIGHGATE SPRINGS","VT"
"VT0060","482 WELCOME CENTER ROAD","HIGHGATE SPRINGS","VT"
"VT0061","482 WELCOME CENTER ROAD","HIGHGATE SPRINGS","VT"
"VT0062","482 WELCOME CENTER ROAD","HIGHGATE SPRINGS","VT"
"VT0063","482 WELCOME CENTER ROAD","HIGHGATE SPRINGS","VT"
"VT0064","482 WELCOME CENTER ROAD","HIGHGATE SPRINGS","VT"
"VT0065","VT 225","ALBURG CENTER","VT"
"VT0551","300 ALBURG SPGS RD","ALBURG SPRINGS","VT"
"VT0552","300 ALBURG SPGS RD","ALBURG SPRINGS","VT"
"VT0602","3136 BEEBE ROAD","BEEBE PLAIN","VT"
"VT0652","84 MAIN ST","DERBY LINE","VT"
"VT0653","84 MAIN ST","DERBY LINE","VT"
"VT0751","743 VT-243","NORTH TROY","VT"
"VT0757","807 VERMONT ROUTE 243","NORTH TROY","VT"
"VT0804","STATE ROUTE 114","NORTON","VT"
"VT0863","I 91","DERBY LINE","VT"
"VT8102","1222 PUTNEY RD","BRATTLEBORO","VT"
"VT8118","36 EASTERN AVE","ST. JOHNSBURY","VT"
"VT8125","1668 ST ALBANS RD","RICHFORD","VT"
"VT8128","237 HARVEST LN","WILLISTON","VT"
"VT8154","59 WATERFRONT PLZ","NEWPORT","VT"
"VT8165","400 CORNERSTONE DR","WILLISTON","VT"
"AK0009","2ND ST","WRANGELL","AK"
"AK0036","MILEPOST 1221.8 ALASKA HWY","TOK","AK"
"AK0037","MILEPOST 1221.8 ALASKA HWY","TOK","AK"
